date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:49	1850/1850	---M--	200	added ('OK')	image/png	etag:%2273a-61d56ba9a5232%22	https://yogurtworld.co.kr/images/01_nav_03.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_03.png	(from https://yogurtworld.co.kr/)
11:51:49	111228/111228	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:47%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=community&id=con5	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content7af6.html	(from https://yogurtworld.co.kr/)
11:51:49	1600/1600	---M--	200	added ('OK')	image/png	etag:%22640-61d56bab2db73%22	https://yogurtworld.co.kr/images/01_nav_04.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_04.png	(from https://yogurtworld.co.kr/)
11:51:49	601/601	---M--	200	added ('OK')	image/png	etag:%22259-61d56bab11a3b%22	https://yogurtworld.co.kr/images/01_nav_05.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_05.png	(from https://yogurtworld.co.kr/)
11:51:49	2059/2059	---M--	200	added ('OK')	image/jpeg	etag:%2280b-61d56ba51e336%22	https://yogurtworld.co.kr/images/01_nav_m_05.jpg	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_m_05.jpg	(from https://yogurtworld.co.kr/)
11:51:50	1315/1315	---M--	200	added ('OK')	image/png	etag:%22523-61d7be6f3cb5f%22	https://yogurtworld.co.kr/images/01_nav_05_m.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/01_nav_05_m.png	(from https://yogurtworld.co.kr/)
11:51:50	210/210	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2002:51:48%20GMT	https://yogurtworld.co.kr/js/header.js	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/header.js	(from https://yogurtworld.co.kr/)
11:51:50	10048/10048	---MCZ	200	added ('OK')	application/javascript	etag:W/%222740-61e799b3e01fa%22	https://yogurtworld.co.kr/theme/design/template/header/script.js	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/theme/design/template/header/script.js	(from https://yogurtworld.co.kr/)
11:51:50	211/211	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2002:51:49%20GMT	https://yogurtworld.co.kr/css/intro.css	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/css/intro.css	(from https://yogurtworld.co.kr/)
11:51:51	21876/21876	---M-Z	200	added ('OK')	text/css	etag:W/%225574-5n2RH9fpDXWKyNglXtOwv2g1PTY%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.css	C:/My%20Web%20Sites/yw/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.css	(from https://yogurtworld.co.kr/)
11:51:51	11323/11323	---M--	200	added ('OK')	image/png	etag:%222c3b-61d56bb5954ac%22	https://yogurtworld.co.kr/images/intro_01.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/intro_01.png	(from https://yogurtworld.co.kr/)
11:51:51	103011/103011	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:49%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=front	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/contentfaa7.html	(from https://yogurtworld.co.kr/)
11:51:51	67380/67380	---M--	200	added ('OK')	image/jpeg	etag:%2210734-61d56bb5a8d2c%22	https://yogurtworld.co.kr/images/intro_02h.jpg	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/intro_02h.jpg	(from https://yogurtworld.co.kr/)
11:51:52	8210/8210	---M--	200	added ('OK')	image/png	etag:%222012-61d56bb5d1984%22	https://yogurtworld.co.kr/images/intro_04.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/intro_04.png	(from https://yogurtworld.co.kr/)
11:51:52	48201/48201	---M--	200	added ('OK')	image/jpeg	etag:%22bc49-61d56bb5d0214%22	https://yogurtworld.co.kr/images/intro_03h.jpg	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/intro_03h.jpg	(from https://yogurtworld.co.kr/)
11:51:52	41026/41026	---M--	200	added ('OK')	image/jpeg	etag:%22a042-61d56bb5cb00c%22	https://yogurtworld.co.kr/images/intro_03hm.jpg	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/intro_03hm.jpg	(from https://yogurtworld.co.kr/)
11:51:52	7088/7088	---M--	200	added ('OK')	image/png	etag:%221bb0-61d56bb5d6b8c%22	https://yogurtworld.co.kr/images/intro_05.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/intro_05.png	(from https://yogurtworld.co.kr/)
11:51:56	20526/20526	---M-Z	200	added ('OK')	application/javascript	etag:%225ffd3ef5-502e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.6.0/ScrollTrigger.min.js	C:/My%20Web%20Sites/yw/cdnjs.cloudflare.com/ajax/libs/gsap/3.6.0/ScrollTrigger.min.js	(from https://yogurtworld.co.kr/)
11:51:57	107961/107961	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1a5b9%22	http://cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	C:/My%20Web%20Sites/yw/cdnjs.cloudflare.com/ajax/libs/gsap/latest/TweenMax.min.js	(from https://yogurtworld.co.kr/)
11:51:57	71157/71157	---M-Z	200	added ('OK')	application/javascript	etag:%2263a3f27f-6cbd%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/gsap.min.js	C:/My%20Web%20Sites/yw/cdnjs.cloudflare.com/ajax/libs/gsap/3.11.4/gsap.min.js	(from https://yogurtworld.co.kr/)
11:51:57	140562/140562	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222512-6lnzeyMttt7iaUB4vyHhU6CbrN0%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	C:/My%20Web%20Sites/yw/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	(from https://yogurtworld.co.kr/)
11:51:57	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/yw/code.jquery.com/jquery-1.12.4.min.js	(from https://yogurtworld.co.kr/)
11:51:57	209/209	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2002:51:55%20GMT	https://yogurtworld.co.kr/js/intro.js	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/intro.3f.delayed	(from https://yogurtworld.co.kr/)
11:51:58	22821/22821	---M-Z	200	added ('OK')	text/css	etag:%22655ecea0-153d%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/11.0.5/swiper-bundle.css	C:/My%20Web%20Sites/yw/cdnjs.cloudflare.com/ajax/libs/Swiper/11.0.5/swiper-bundle.css	(from https://yogurtworld.co.kr/)
11:51:58	148471/148471	---M-Z	200	added ('OK')	application/javascript	etag:%22655ecea0-a135%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/11.0.5/swiper-bundle.min.js	C:/My%20Web%20Sites/yw/cdnjs.cloudflare.com/ajax/libs/Swiper/11.0.5/swiper-bundle.min.js	(from https://yogurtworld.co.kr/)
11:51:58	2550/2550	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f6-61d56bdc07d47%22	https://yogurtworld.co.kr/theme/design/template/intro/script.js	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/theme/design/template/intro/script.js	(from https://yogurtworld.co.kr/)
11:51:58	212/212	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2002:51:56%20GMT	https://yogurtworld.co.kr/css/footer.css	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/css/footer.css	(from https://yogurtworld.co.kr/)
11:51:58	1464/1464	---M--	200	added ('OK')	image/png	etag:%225b8-61d56ba4b76ae%22	https://yogurtworld.co.kr/images/footer_03.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_03.png	(from https://yogurtworld.co.kr/)
11:51:59	1176/1176	---M--	200	added ('OK')	image/png	etag:%22498-61d56ba631d5f%22	https://yogurtworld.co.kr/images/footer_04.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_04.png	(from https://yogurtworld.co.kr/)
11:51:59	1532/1532	---M--	200	added ('OK')	image/png	etag:%225fc-61d56ba5daad7%22	https://yogurtworld.co.kr/images/footer_05.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_05.png	(from https://yogurtworld.co.kr/)
11:51:59	1413/1413	---M--	200	added ('OK')	image/png	etag:%22585-61d56ba54310e%22	https://yogurtworld.co.kr/images/footer_06.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_06.png	(from https://yogurtworld.co.kr/)
11:51:59	1165/1165	---M--	200	added ('OK')	image/png	etag:%2248d-61d56ba584fbe%22	https://yogurtworld.co.kr/images/footer_07.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_07.png	(from https://yogurtworld.co.kr/)
11:52:00	3646/3646	---M--	200	added ('OK')	image/png	etag:%22e3e-61d56ba49a9be%22	https://yogurtworld.co.kr/images/footer_01.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_01.png	(from https://yogurtworld.co.kr/)
11:52:00	1965/1965	---M--	200	added ('OK')	image/png	etag:%227ad-61d56ba4f56de%22	https://yogurtworld.co.kr/images/footer_02.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_02.png	(from https://yogurtworld.co.kr/)
11:52:00	1991/1991	---M--	200	added ('OK')	image/png	etag:%227c7-61d56bae7ca3e%22	https://yogurtworld.co.kr/images/footer_02h.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/footer_02h.png	(from https://yogurtworld.co.kr/)
